station,date,file_id,file,pod,minutes_on,min_temp,max_temp,minutes_lying,n_clicks,dph,n_encounters,dps,n_trains,remove
1014,2011-07-22,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0.2,1.2,0,0,0,0,0,0,FALSE
1014,2011-07-23,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0.2,1.2,0,0,0,0,0,0,FALSE
1014,2011-07-24,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0.2,0.8,0,0,0,0,0,0,FALSE
1014,2011-07-25,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0,0.4,0,0,0,0,0,0,FALSE
1014,2011-07-26,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0,0.4,0,0,0,0,0,0,FALSE
1014,2011-07-27,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0,0.4,0,0,0,0,0,0,FALSE
1014,2011-07-28,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0,0.4,0,0,0,0,0,0,FALSE
1014,2011-07-29,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0.2,0.8,0,0,0,0,0,0,FALSE
1014,2011-07-30,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0.2,1.2,0,0,0,0,0,0,FALSE
1014,2011-07-31,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0.4,1.6,0,0,0,0,0,0,FALSE
1014,2011-08-01,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0.4,1.6,0,0,0,0,0,0,FALSE
1014,2011-08-02,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0.4,1,0,0,0,0,0,0,FALSE
1014,2011-08-03,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0.4,1,0,0,0,0,0,0,FALSE
1014,2011-08-04,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0.8,1.2,0,0,0,0,0,0,FALSE
1014,2011-08-05,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0.4,1.6,0,0,0,0,0,0,FALSE
1014,2011-08-06,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0.8,1.6,0,0,0,0,0,0,FALSE
1014,2011-08-07,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0.8,2.4,0,0,0,0,0,0,FALSE
1014,2011-08-08,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,1.8,3.2,0,0,0,0,0,0,FALSE
1014,2011-08-09,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,2.4,3.2,0,0,0,0,0,0,FALSE
1014,2011-08-10,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,1,2.6,0,0,0,0,0,0,FALSE
1014,2011-08-11,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0.2,2,0,0,0,0,0,0,FALSE
1014,2011-08-12,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0.2,1,0,0,0,0,0,0,FALSE
1014,2011-08-13,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0.8,1.2,0,0,0,0,0,0,FALSE
1014,2011-08-14,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,1,1.6,0,0,0,0,0,0,FALSE
1014,2011-08-15,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,1,1.6,0,0,0,0,0,0,FALSE
1014,2011-08-16,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0.4,1.6,0,0,0,0,0,0,FALSE
1014,2011-08-17,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0.4,1.2,0,0,0,0,0,0,FALSE
1014,2011-08-18,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0.4,1.2,0,0,0,0,0,0,FALSE
1014,2011-08-19,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0.4,1.2,0,0,0,0,0,0,FALSE
1014,2011-08-20,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0,2,0,0,0,0,0,0,FALSE
1014,2011-08-21,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0,2,0,0,0,0,0,0,FALSE
1014,2011-08-22,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0,0.8,0,0,0,0,0,0,FALSE
1014,2011-08-23,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0,1,0,0,0,0,0,0,FALSE
1014,2011-08-24,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0,1,0,0,0,0,0,0,FALSE
